1,0.464,0.318,0.22,0.284,0.34,0.325,0.232,0.218,0.425,0.308,0.694,0.788,0.665,0.782,0.224,0.212,3.72,3.93,3.3,0.641,0.611,3.16,3.47,0.279,0.329,0.26,0.38,1.09,1.09,0.376,0.304,0.681,0.868,0.839,0.924,6.46,7.05,4.9,5.4,0.919,0.898,1.95,1.99,0.0892,0.0882,1.15,1.27,1.54,3.12,2.64,0.301,0.25,0.196,0.132,0.163,0.18,1.96,2.01,1.46,1.64,0.306,0.375,1.64,1.49,4.51,4.6,0.433,0.384,0.39,0.544,1.97,2.17,1.03,0.815,0.849,0.837,0.751,0.663,16.449,16.646,11.108,11.513,26.188,4.16,0.109,0.113
1,0.399,0.569,0.289,0.269,0.337,0.471,0.318,0.293,0.306,0.329,0.688,0.719,0.76,0.922,0.162,0.204,3.81,3.9,3.82,0.75,0.69,3.13,3.4,0.35,0.243,0.287,0.205,1.12,1.13,0.46,0.291,0.83,1.22,0.917,0.912,8.1,8.03,4.79,5.45,1.22,1.17,2.14,2.23,0.122,0.113,1.63,1.54,1.51,2.32,2.96,0.236,0.324,0.19,0.206,0.273,0.228,2.33,2.35,1.55,1.87,0.307,0.396,1.91,1.95,5.19,5.66,0.487,0.417,0.585,0.508,2.39,2.49,1.28,0.784,1.09,0.997,0.919,0.566,22.688,21.987,13.357,14,44.532,4.79,0.114,0.126
1,0.43,0.44,0.186,0.188,0.335,0.305,0.263,0.203,0.437,0.323,0.587,0.649,0.59,0.635,0.134,0.134,2.73,2.68,3.23,0.512,0.424,2.76,2.35,0.187,0.233,0.175,0.14,0.845,0.873,0.225,0.163,0.562,0.669,0.534,0.562,5.91,6.36,3.69,4.03,0.792,0.855,1.75,1.81,0.0899,0.0777,1.02,1.17,1.11,1.56,1.84,0.245,0.186,0.247,0.127,0.273,0.272,1.72,1.61,1.53,1.3,0.166,0.228,1.41,1.16,4,3.47,0.36,0.35,0.201,0.202,1.72,1.73,0.722,0.561,0.632,0.486,0.53,0.392,14.474,14.695,8.5,8.4,40.047,3.76,0.0787,0.106
1,0.274,0.351,0.21,0.165,0.141,0.193,0.105,0.116,0.323,0.27,0.31,0.323,0.421,0.439,0.0947,0.139,2.09,2.15,2.3,0.374,0.292,1.65,1.77,0.131,0.14,0.0959,0.0995,0.559,0.635,0.191,0.149,0.468,0.516,0.603,0.663,4.05,4.01,2.7,2.97,0.587,0.772,1.38,1.28,0.0905,0.0759,0.869,0.794,0.634,2.24,2.16,0.105,0.0939,0.0865,0.0515,0.103,0.111,1.1,1.12,1.04,0.977,0.135,0.255,0.83,0.883,2.28,2.34,0.214,0.161,0.128,0.164,1.42,1.64,0.666,0.502,0.393,0.37,0.424,0.353,10.335,10.452,7.36,7.39,26.158,2.58,0.0674,0.0784
1,0.611,0.61,0.358,0.422,0.411,0.354,0.39,0.395,0.673,0.562,1.39,1.2,1.02,1.01,0.238,0.278,6.82,6.53,4.97,1.05,1.02,5.71,5.29,0.416,0.436,0.455,0.479,1.57,1.86,0.649,0.55,0.975,0.98,1.07,0.971,11.817,11.832,7.96,8.28,1.44,1.38,2.66,2.72,0.143,0.118,2.15,2.17,1.5,1.79,2.24,0.309,0.209,0.242,0.238,0.327,0.279,2.37,2.1,1.8,1.9,0.23,0.458,1.97,1.89,5.91,5.68,0.494,0.453,0.879,1.03,2.47,2.66,1.29,0.951,0.974,0.914,1.02,0.8,21.958,21.347,13.049,13.285,65.075,5.66,0.218,0.194
1,0.277,0.325,0.177,0.15,0.195,0.19,0.152,0.145,0.196,0.211,0.351,0.298,0.462,0.482,0.107,0.141,1.71,1.71,2.34,0.319,0.274,1.85,1.78,0.143,0.163,0.0872,0.0817,0.643,0.669,0.158,0.115,0.614,0.639,0.738,0.857,3.79,3.86,2.74,2.87,0.679,0.639,1.17,1.22,0.0731,0.0712,0.742,0.694,0.74,2.69,2.69,0.179,0.117,0.0914,0.0765,0.11,0.174,1.27,1.16,1.21,1.08,0.165,0.273,0.929,0.885,2.61,2.41,0.249,0.185,0.155,0.235,1.49,1.73,0.554,0.451,0.42,0.455,0.459,0.308,10.776,10.07,7.01,8.19,28.439,2.66,0.0837,0.0736
1,0.404,0.385,0.202,0.185,0.33,0.358,0.27,0.25,0.44,0.316,0.654,0.604,0.696,0.708,0.187,0.217,2.99,2.82,3.16,0.554,0.479,2.61,2.83,0.303,0.221,0.153,0.169,0.964,0.987,0.3,0.238,0.577,0.567,0.863,1,5.97,6.1,3.77,4.34,0.749,0.755,1.52,1.54,0.104,0.0994,1,0.995,1.11,4.55,3.64,0.229,0.307,0.177,0.193,0.146,0.214,1.86,1.58,1.48,1.42,0.274,0.496,1.5,1.33,3.8,4.28,0.42,0.194,0.342,0.512,2.02,1.93,0.937,0.801,0.725,0.473,0.692,0.5,15.262,15.171,10.026,10.337,39.039,3.48,0.0955,0.102
1,0.359,0.432,0.236,0.23,0.265,0.316,0.283,0.196,0.37,0.297,0.638,0.59,0.632,0.625,0.123,0.129,3.36,3.27,3.42,0.54,0.492,2.92,2.76,0.237,0.241,0.235,0.18,0.849,0.798,0.35,0.295,0.518,0.778,0.696,0.76,6.11,6.96,4.06,4.32,0.842,0.789,1.81,1.97,0.102,0.0876,1.14,1.15,1.31,0.543,1.87,0.136,0.141,0.119,0.096,0.196,0.159,1.87,1.61,1.46,1.43,0.125,0.196,1.53,1.51,4.57,4.41,0.354,0.337,0.512,0.164,1.83,1.84,1.13,0.952,0.793,0.599,0.743,0.495,17.475,17.395,11.114,11.115,37.297,4.07,0.0886,0.0772
0,0.648,0.844,0.414,0.468,0.743,0.874,0.967,1.1,0.936,0.782,2.88,2.8,2.17,2.1,0.667,0.898,11.286,11.279,5.47,1.75,1.54,11.185,11.471,0.937,0.769,1.1,0.966,3.83,3.87,1.15,1.03,1.26,1.1,1.53,1.36,23.015,22.322,16.7,17.089,1.38,1.32,3.33,3.28,0.182,0.154,2.82,2.62,2.26,6.35,5.1,0.435,0.491,0.531,0.561,0.365,0.28,2.25,2.1,2.47,2.25,0.678,0.87,1.77,1.6,5.55,5.94,0.435,0.357,1.02,0.928,3.73,3.27,1.28,1.01,0.973,0.924,1.12,0.964,20.447,19.86,13.999,13.905,120.67,6.44,0.465,0.436
0,0.789,0.82,0.4,0.407,0.71,0.829,0.821,0.784,0.966,0.803,2,2.17,1.91,1.97,0.573,0.641,9.06,8.57,5.45,1.56,1.52,9.83,10.197,0.798,0.766,0.645,0.593,3.28,3.29,0.912,0.806,1.4,1.09,1.22,1.39,21.564,21.56,12.293,12.985,1.4,1.43,3.43,3.33,0.201,0.183,2.84,2.95,2.11,3.71,3.63,0.479,0.517,0.551,0.448,0.519,0.429,2.39,2.35,2.54,2.71,0.765,0.773,2.47,2.4,6.94,6.84,0.583,0.63,0.985,0.83,4.03,3.79,1.17,1.04,1.28,1.17,1.12,1.3,26.017,25.454,14.307,14.702,110.02,6.34,0.328,0.312
